Workload,GOMAXPROCS,Goroutines,TotalTime_ms,AvgLatency_ns,Throughput
CPU-bound,1,1,360.188,0,1388165878.12
CPU-bound,1,2,365.196,1,1369126284.97
CPU-bound,1,4,363.977,2,1373713834.67
CPU-bound,1,8,364.858,5,1370396788.88
CPU-bound,1,16,366.518,11,1364189941.99
CPU-bound,1,32,363.799,13,1374387006.22
CPU-bound,1,64,365.124,24,1369397444.83
CPU-bound,2,1,366.751,0,1363321591.27
CPU-bound,2,2,187.874,0,2661354064.59
CPU-bound,2,4,184.746,1,2706417780.45
CPU-bound,2,8,184.625,2,2708186120.85
CPU-bound,2,16,182.746,5,2736041381.73
CPU-bound,2,32,185.543,7,2694795938.36
CPU-bound,2,64,187.871,12,2661398899.50
CPU-bound,4,1,365.680,0,1367317132.88
CPU-bound,4,2,187.476,0,2667005895.59
CPU-bound,4,4,95.700,0,5224675901.86
CPU-bound,4,8,106.535,1,4693298394.17
CPU-bound,4,16,105.875,2,4722550355.52
CPU-bound,4,32,103.750,4,4819265031.24
CPU-bound,4,64,97.745,7,5115336724.82
CPU-bound,8,1,367.296,0,1361300259.77
CPU-bound,8,2,185.230,0,2699346204.31
CPU-bound,8,4,133.651,0,3741079330.87
CPU-bound,8,8,79.143,1,6317713250.62
CPU-bound,8,16,89.609,1,5579826810.21
CPU-bound,8,32,75.091,2,6658613827.88
CPU-bound,8,64,67.751,5,7379924350.46
CPU-bound,16,1,367.302,0,1361275835.85
CPU-bound,16,2,182.421,0,2740907486.18
CPU-bound,16,4,106.888,0,4677786226.07
CPU-bound,16,8,87.799,1,5694801228.49
CPU-bound,16,16,57.126,1,8752560255.16
CPU-bound,16,32,99.452,4,5027526663.71
CPU-bound,16,64,57.599,4,8680720579.67
Mutex-bound,1,1,17.499,17,57146857.42
Mutex-bound,1,2,15.174,24,65900767.94
Mutex-bound,1,4,21.570,66,46360950.51
Mutex-bound,1,8,12.112,54,82564472.33
Mutex-bound,1,16,16.461,170,60748060.12
Mutex-bound,1,32,21.108,456,47374767.53
Mutex-bound,1,64,15.960,622,62657332.56
Mutex-bound,2,1,17.371,17,57565940.49
Mutex-bound,2,2,23.541,45,42478934.70
Mutex-bound,2,4,28.540,109,35038584.14
Mutex-bound,2,8,40.423,302,24738532.88
Mutex-bound,2,16,31.017,391,32240324.02
Mutex-bound,2,32,40.870,1074,24467723.63
Mutex-bound,2,64,51.320,2828,19485512.33
Mutex-bound,4,1,20.318,20,49217965.90
Mutex-bound,4,2,18.474,36,54130720.71
Mutex-bound,4,4,35.225,139,28388526.16
Mutex-bound,4,8,57.790,456,17304070.47
Mutex-bound,4,16,73.338,1159,13635488.30
Mutex-bound,4,32,85.034,2669,11759963.16
Mutex-bound,4,64,86.202,5280,11600713.15
Mutex-bound,8,1,19.232,19,51996188.26
Mutex-bound,8,2,17.965,35,55664348.43
Mutex-bound,8,4,41.783,165,23933352.12
Mutex-bound,8,8,72.951,575,13707832.79
Mutex-bound,8,16,85.313,1346,11721481.33
Mutex-bound,8,32,95.824,2908,10435821.18
Mutex-bound,8,64,105.051,6539,9519216.00
Mutex-bound,16,1,19.779,19,50557742.91
Mutex-bound,16,2,20.294,39,49276859.62
Mutex-bound,16,4,44.303,175,22572001.98
Mutex-bound,16,8,67.772,534,14755368.60
Mutex-bound,16,16,82.604,1304,12106013.28
Mutex-bound,16,32,85.093,2656,11751788.73
Mutex-bound,16,64,108.945,6692,9178954.79
Sleep-bound,1,1,35218.428,704368,1419.71
Sleep-bound,1,2,17224.966,687387,2902.76
Sleep-bound,1,4,654.046,51057,76447.27
Sleep-bound,1,8,442.726,31921,112936.61
Sleep-bound,1,16,281.976,30906,177319.84
Sleep-bound,1,32,125.176,27598,399436.00
Sleep-bound,1,64,163.075,39923,306606.63
Sleep-bound,2,1,4211.379,84227,11872.60
Sleep-bound,2,2,736.457,29407,67892.59
Sleep-bound,2,4,401.356,31988,124577.76
Sleep-bound,2,8,219.833,33399,227445.35
Sleep-bound,2,16,75.858,18697,659127.74
Sleep-bound,2,32,47.396,19523,1054935.05
Sleep-bound,2,64,47.028,25709,1063205.87
Sleep-bound,4,1,3766.420,75328,13275.21
Sleep-bound,4,2,649.298,25930,77006.26
Sleep-bound,4,4,341.092,26425,146588.01
Sleep-bound,4,8,288.209,41399,173485.50
Sleep-bound,4,16,65.728,17006,760714.86
Sleep-bound,4,32,44.840,19092,1115080.45
Sleep-bound,4,64,38.490,17309,1299040.37
Sleep-bound,8,1,3060.694,61213,16336.17
Sleep-bound,8,2,681.972,27247,73316.84
Sleep-bound,8,4,308.196,23258,162234.19
Sleep-bound,8,8,262.108,32149,190761.07
Sleep-bound,8,16,102.895,29239,485930.66
Sleep-bound,8,32,23.057,12518,2168529.06
Sleep-bound,8,64,24.093,19945,2075330.34
Sleep-bound,16,1,3174.137,63482,15752.32
Sleep-bound,16,2,762.705,30446,65556.10
Sleep-bound,16,4,440.627,32474,113474.54
Sleep-bound,16,8,217.303,31267,230092.95
Sleep-bound,16,16,94.939,27137,526654.76
Sleep-bound,16,32,28.046,14726,1782814.35
Sleep-bound,16,64,17.500,13022,2857158.04
